iter	Passed	Remaining
0	81	73431
1	101	45528
2	119	35851
3	140	31422
4	159	28479
5	177	26419
6	196	25094
7	215	24060
8	236	23425
9	256	22828
10	276	22333
11	295	21861
12	314	21479
13	334	21173
14	353	20878
15	373	20610
16	391	20328
17	410	20099
18	428	19853
19	447	19680
20	467	19555
21	487	19471
22	509	19411
23	528	19293
24	549	19238
25	569	19141
26	588	19038
27	608	18949
28	628	18876
29	647	18776
30	669	18755
31	688	18685
32	709	18642
33	729	18585
34	749	18530
35	765	18370
36	784	18296
37	804	18252
38	823	18172
39	844	18153
40	862	18080
41	882	18026
42	902	17996
43	923	17964
44	945	17969
45	965	17931
46	984	17859
47	1006	17866
48	1027	17846
49	1049	17836
50	1069	17799
51	1090	17785
52	1112	17774
53	1132	17741
54	1153	17716
55	1173	17682
56	1192	17637
57	1211	17593
58	1228	17508
59	1248	17472
60	1267	17438
61	1289	17430
62	1310	17406
63	1328	17354
64	1349	17335
65	1367	17281
66	1386	17233
67	1404	17187
68	1422	17136
69	1444	17127
70	1463	17085
71	1481	17041
72	1500	16994
73	1519	16957
74	1539	16937
75	1560	16922
76	1584	16930
77	1601	16874
78	1620	16844
79	1642	16833
80	1665	16841
81	1688	16848
82	1712	16855
83	1733	16844
84	1755	16831
85	1779	16840
86	1845	17248
87	1866	17222
88	1887	17200
89	1908	17180
90	1928	17142
91	1947	17103
92	1969	17092
93	1990	17066
94	2009	17023
95	2029	16998
96	2049	16968
97	2068	16930
98	2087	16892
99	2107	16862
100	2129	16843
101	2146	16796
102	2166	16765
103	2186	16734
104	2208	16723
105	2227	16685
106	2251	16685
107	2275	16685
108	2296	16668
109	2318	16651
110	2337	16612
111	2355	16571
112	2375	16542
113	2392	16495
114	2413	16474
115	2433	16445
116	2453	16417
117	2476	16414
118	2495	16375
119	2515	16353
120	2535	16325
121	2557	16310
122	2575	16272
123	2593	16231
124	2611	16192
125	2627	16138
126	2646	16109
127	2666	16079
128	2685	16050
129	2703	16011
130	2723	15989
131	2744	15967
132	2761	15925
133	2808	16053
134	2834	16060
135	2854	16035
136	2874	16011
137	2895	15987
138	2917	15970
139	2935	15936
140	2950	15884
141	2969	15849
142	2992	15839
143	3013	15819
144	3036	15808
145	3058	15795
146	3077	15763
147	3097	15736
148	3116	15708
149	3137	15686
150	3153	15644
151	3169	15596
152	3188	15567
153	3207	15539
154	3226	15509
155	3248	15491
