index,neighborhood
2790,
2791,Хорущина
2792,
2793,
2794,
2795,
2796,
2797,Brooklyn
2798,
2799,
2800,
2801,
2802,Хорущина
2803,
2804,
2805,Court House Hill
2806,
2807,
2808,
2809,
2810,
2811,
2812,
2813,
2814,
2815,
2816,
2817,
2818,Park South
2819,
2820,Nubian Square
2821,
2822,
2823,Hans Town
2824,
2825,
2826,
2827,Brooklyn
2828,
2829,
2830,
2831,Rose Grove
2832,
2833,uMuziwabantu Ward 3
2834,
2835,Brooklyn
2836,
2837,
2838,
2839,
2840,Novar Gardens
2841,
2842,
2843,
2844,
2845,
2846,
2847,East The Water
2848,
2849,
2850,South Beach
